"Gewässer","","'=","Donau 8427",""
"Messstelle","","'=","Immendingen CQQ105 2187",""
"","","'=","Ulm-Wiblingen CQQ803 2198",""
"Parameter","","'=","4 T Temperatur Grad Celsius",""
"Zeitraum","","'=","Tue Dec 01 00:00:00 CET 2015 Sat Aug 31 23:59:59 CEST 2024",""


"Gewässer","GCODE","Messstelle","Ost","Nord","Parameter","Datum","Tagesmittelwert","Dimension"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","16.03.2016","4,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","17.03.2016","4,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","18.03.2016","5,6","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","19.03.2016","6,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","20.03.2016","6,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","21.03.2016","6,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","22.03.2016","6,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","23.03.2016","5,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","24.03.2016","5,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","25.03.2016","5,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","26.03.2016","6,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","27.03.2016","6,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","28.03.2016","6,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","29.03.2016","6,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","30.03.2016","7,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","31.03.2016","8,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.04.2016","8,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.04.2016","8,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","03.04.2016","9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","04.04.2016","10,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","05.04.2016","10,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","06.04.2016","10,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","07.04.2016","9,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","08.04.2016","8,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","09.04.2016","7,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","10.04.2016","8,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","11.04.2016","9,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","12.04.2016","10,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","13.04.2016","11","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","14.04.2016","10,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","15.04.2016","9,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","16.04.2016","9,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","17.04.2016","9,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","18.04.2016","7,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","19.04.2016","8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","20.04.2016","9,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","21.04.2016","9,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","22.04.2016","10,5","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","23.04.2016","10,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","24.04.2016","8,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","25.04.2016","7,8","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","26.04.2016","7,3","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","27.04.2016","6,9","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","28.04.2016","7,1","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","29.04.2016","8,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","30.04.2016","9,2","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","01.05.2016","8,7","°C"
"Donau","CQQ105","Immendingen","480989","5309454","Temperatur","02.05.2016","8,5","°C"
