station_id,parameter_id,feature_id,unit,date,value,dt_loc_estimated,latitude,longitude
tanchau,tss,hightide,g/m3,2020-01-26,14.6,2020-01-26 09:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-27,16.3,2020-01-27 09:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-28,15.6,2020-01-28 09:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-29,16.5,2020-01-29 10:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-30,17.9,2020-01-30 11:00:00+07:00,10.802175,105.248952
tanchau,tss,hightide,g/m3,2020-01-31,18.3,2020-01-31 12:00:00+07:00,10.802175,105.248952
mythuan,tss,hightide,g/m3,2016-01-01,21.4,2016-01-01 08:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-02,13.4,2016-01-02 09:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-03,24.5,2016-01-03 11:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-04,16.4,2016-01-04 13:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-05,15.7,2016-01-05 15:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-06,15.9,2016-01-06 16:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-07,28.0,2016-01-07 16:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-08,18.4,2016-01-08 17:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-09,33.8,2016-01-09 18:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-10,28.0,2016-01-10 18:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-11,25.9,2016-01-11 18:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-12,26.6,2016-01-12 06:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-13,20.1,2016-01-13 06:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-14,19.4,2016-01-14 07:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-15,16.9,2016-01-15 08:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-16,24.2,2016-01-16 09:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-17,14.1,2016-01-17 10:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-18,22.2,2016-01-18 12:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-19,19.4,2016-01-19 14:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-20,17.7,2016-01-20 15:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-21,20.7,2016-01-21 16:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-22,17.7,2016-01-22 17:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-23,21.5,2016-01-23 18:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-24,31.8,2016-01-24 18:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-25,23.3,2016-01-25 18:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-26,20.5,2016-01-26 06:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-27,17.3,2016-01-27 06:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-28,21.1,2016-01-28 07:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-29,16.8,2016-01-29 07:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-30,19.3,2016-01-30 08:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2016-01-31,19.1,2016-01-31 09:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-01,26.7,2017-01-01 06:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-02,37.6,2017-01-02 06:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-03,24.0,2017-01-03 07:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-04,34.7,2017-01-04 07:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-05,32.1,2017-01-05 08:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-06,32.3,2017-01-06 10:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-07,37.3,2017-01-07 11:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-08,28.4,2017-01-08 14:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-09,43.6,2017-01-09 15:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-10,31.0,2017-01-10 16:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-11,34.8,2017-01-11 17:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-12,25.7,2017-01-12 18:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-13,32.5,2017-01-13 18:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-14,27.2,2017-01-14 06:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-15,46.6,2017-01-15 06:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-16,59.9,2017-01-16 07:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-17,28.4,2017-01-17 07:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-18,33.5,2017-01-18 08:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-19,38.5,2017-01-19 09:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-20,43.5,2017-01-20 10:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-21,37.3,2017-01-21 12:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-22,21.6,2017-01-22 14:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-23,30.8,2017-01-23 15:00:00+07:00,10.277665,105.916715
mythuan,tss,hightide,g/m3,2017-01-24,29.2,2017-01-24 16:00:00+07:00,10.277665,105.916715
