,river,station_id,name,temperature,dt64,geometry
169,Rhein,CXX334,Iffezheim,22.0,1992-08-17,POINT (8.109691899961788 48.83126839719035)
170,Rhein,CXX334,Iffezheim,22.6,1992-08-18,POINT (8.109691899961788 48.83126839719035)
171,Rhein,CXX334,Iffezheim,23.0,1992-08-19,POINT (8.109691899961788 48.83126839719035)
172,Rhein,CXX334,Iffezheim,23.2,1992-08-20,POINT (8.109691899961788 48.83126839719035)
173,Rhein,CXX334,Iffezheim,23.4,1992-08-21,POINT (8.109691899961788 48.83126839719035)
174,Rhein,CXX334,Iffezheim,23.6,1992-08-22,POINT (8.109691899961788 48.83126839719035)
175,Rhein,CXX334,Iffezheim,23.5,1992-08-23,POINT (8.109691899961788 48.83126839719035)
176,Rhein,CXX334,Iffezheim,23.2,1992-08-24,POINT (8.109691899961788 48.83126839719035)
177,Rhein,CXX334,Iffezheim,23.1,1992-08-25,POINT (8.109691899961788 48.83126839719035)
178,Rhein,CXX334,Iffezheim,23.4,1992-08-26,POINT (8.109691899961788 48.83126839719035)
179,Rhein,CXX334,Iffezheim,23.3,1992-08-27,POINT (8.109691899961788 48.83126839719035)
180,Rhein,CXX334,Iffezheim,23.5,1992-08-28,POINT (8.109691899961788 48.83126839719035)
181,Rhein,CXX334,Iffezheim,23.6,1992-08-29,POINT (8.109691899961788 48.83126839719035)
182,Rhein,CXX334,Iffezheim,23.1,1992-08-30,POINT (8.109691899961788 48.83126839719035)
183,Rhein,CXX334,Iffezheim,22.7,1992-08-31,POINT (8.109691899961788 48.83126839719035)
184,Rhein,CXX334,Iffezheim,21.8,1992-09-01,POINT (8.109691899961788 48.83126839719035)
185,Rhein,CXX334,Iffezheim,21.1,1992-09-02,POINT (8.109691899961788 48.83126839719035)
186,Rhein,CXX334,Iffezheim,20.8,1992-09-03,POINT (8.109691899961788 48.83126839719035)
187,Rhein,CXX334,Iffezheim,20.0,1992-09-04,POINT (8.109691899961788 48.83126839719035)
188,Rhein,CXX334,Iffezheim,19.2,1992-09-05,POINT (8.109691899961788 48.83126839719035)
189,Rhein,CXX334,Iffezheim,18.4,1992-09-06,POINT (8.109691899961788 48.83126839719035)
190,Rhein,CXX334,Iffezheim,18.4,1992-09-07,POINT (8.109691899961788 48.83126839719035)
191,Rhein,CXX334,Iffezheim,18.6,1992-09-08,POINT (8.109691899961788 48.83126839719035)
192,Rhein,CXX334,Iffezheim,18.1,1992-09-09,POINT (8.109691899961788 48.83126839719035)
193,Rhein,CXX334,Iffezheim,17.8,1992-09-10,POINT (8.109691899961788 48.83126839719035)
194,Rhein,CXX334,Iffezheim,18.0,1992-09-11,POINT (8.109691899961788 48.83126839719035)
195,Rhein,CXX334,Iffezheim,18.5,1992-09-12,POINT (8.109691899961788 48.83126839719035)
196,Rhein,CXX334,Iffezheim,18.6,1992-09-13,POINT (8.109691899961788 48.83126839719035)
197,Rhein,CXX334,Iffezheim,18.6,1992-09-14,POINT (8.109691899961788 48.83126839719035)
198,Rhein,CXX334,Iffezheim,18.6,1992-09-15,POINT (8.109691899961788 48.83126839719035)
