station_no;time;max(cm)
4284170000100;2022-08-31T00:00:00.000+01:00;16.30
4284170000100;2022-09-01T00:00:00.000+01:00;16.10
4284170000100;2022-09-02T00:00:00.000+01:00;15.60
4284170000100;2022-09-03T00:00:00.000+01:00;15.50
4284170000100;2022-09-04T00:00:00.000+01:00;15.40
4284170000100;2022-09-05T00:00:00.000+01:00;15.70
4284170000100;2022-09-06T00:00:00.000+01:00;16.30
4284170000100;2022-09-07T00:00:00.000+01:00;16.80
4284170000100;2022-09-08T00:00:00.000+01:00;16.80
4284170000100;2022-09-09T00:00:00.000+01:00;16.30
4284170000100;2022-09-10T00:00:00.000+01:00;15.60
4284170000100;2022-09-11T00:00:00.000+01:00;15.20
4284170000100;2022-09-12T00:00:00.000+01:00;14.90
4284170000100;2022-09-13T00:00:00.000+01:00;15.00
4284170000100;2022-09-14T00:00:00.000+01:00;15.00
4284170000100;2022-09-15T00:00:00.000+01:00;14.80
4284170000100;2022-09-16T00:00:00.000+01:00;14.40
4284170000100;2022-09-17T00:00:00.000+01:00;13.90
4284170000100;2022-09-18T00:00:00.000+01:00;13.10
4284170000100;2022-09-19T00:00:00.000+01:00;12.50
4284170000100;2022-09-20T00:00:00.000+01:00;12.20
4284170000100;2022-09-21T00:00:00.000+01:00;12.00
4284170000100;2022-09-22T00:00:00.000+01:00;11.50
4284170000100;2022-09-23T00:00:00.000+01:00;11.30
4284170000100;2022-09-24T00:00:00.000+01:00;11.30
4284170000100;2022-09-25T00:00:00.000+01:00;11.60
4284170000100;2022-09-26T00:00:00.000+01:00;11.60
4284170000100;2022-09-27T00:00:00.000+01:00;11.20
4284170000100;2022-09-28T00:00:00.000+01:00;10.90
4284170000100;2022-09-29T00:00:00.000+01:00;10.60
4284170000100;2022-09-30T00:00:00.000+01:00;10.30
4284170000100;2022-10-01T00:00:00.000+01:00;10.10
4284170000100;2022-10-02T00:00:00.000+01:00;10.40
4284170000100;2022-10-03T00:00:00.000+01:00;10.70
4284170000100;2022-10-04T00:00:00.000+01:00;10.70
4284170000100;2022-10-05T00:00:00.000+01:00;10.60
4284170000100;2022-10-06T00:00:00.000+01:00;11.10
4284170000100;2022-10-07T00:00:00.000+01:00;11.10
4284170000100;2022-10-08T00:00:00.000+01:00;10.50
4284170000100;2022-10-09T00:00:00.000+01:00;10.00
4284170000100;2022-10-10T00:00:00.000+01:00;9.60
4284170000100;2022-10-11T00:00:00.000+01:00;9.50
4284170000100;2022-10-12T00:00:00.000+01:00;9.50
4284170000100;2022-10-13T00:00:00.000+01:00;9.30
4284170000100;2022-10-14T00:00:00.000+01:00;9.80
4284170000100;2022-10-15T00:00:00.000+01:00;10.50
4284170000100;2022-10-16T00:00:00.000+01:00;11.00
4284170000100;2022-10-17T00:00:00.000+01:00;11.40
4284170000100;2022-10-18T00:00:00.000+01:00;11.90
4284170000100;2022-10-19T00:00:00.000+01:00;11.90
4284170000100;2022-10-20T00:00:00.000+01:00;10.80
4284170000100;2022-10-21T00:00:00.000+01:00;10.40
4284170000100;2022-10-22T00:00:00.000+01:00;10.80
4284170000100;2022-10-23T00:00:00.000+01:00;10.80
4284170000100;2022-10-24T00:00:00.000+01:00;11.10
4284170000100;2022-10-25T00:00:00.000+01:00;11.20
4284170000100;2022-10-26T00:00:00.000+01:00;11.10
4284170000100;2022-10-27T00:00:00.000+01:00;10.80
4284170000100;2022-10-28T00:00:00.000+01:00;11.10
4284170000100;2022-10-29T00:00:00.000+01:00;11.30
4284170000100;2022-10-30T00:00:00.000+01:00;11.30
4284170000100;2022-10-31T00:00:00.000+01:00;11.20
4284170000100;2022-11-01T00:00:00.000+01:00;11.00
4284170000100;2022-11-02T00:00:00.000+01:00;10.80
4284170000100;2022-11-03T00:00:00.000+01:00;10.00
4284170000100;2022-11-04T00:00:00.000+01:00;9.70
4284170000100;2022-11-05T00:00:00.000+01:00;9.70
4284170000100;2022-11-06T00:00:00.000+01:00;9.40
4284170000100;2022-11-07T00:00:00.000+01:00;9.20
4284170000100;2022-11-08T00:00:00.000+01:00;9.50
4284170000100;2022-11-09T00:00:00.000+01:00;9.70
4284170000100;2022-11-10T00:00:00.000+01:00;9.80
4284170000100;2022-11-11T00:00:00.000+01:00;9.70
4284170000100;2022-11-12T00:00:00.000+01:00;9.30
4284170000100;2022-11-13T00:00:00.000+01:00;8.70
4284170000100;2022-11-14T00:00:00.000+01:00;8.20
4284170000100;2022-11-15T00:00:00.000+01:00;8.10
4284170000100;2022-11-16T00:00:00.000+01:00;8.60
4284170000100;2022-11-17T00:00:00.000+01:00;8.70
4284170000100;2022-11-18T00:00:00.000+01:00;8.70
4284170000100;2022-11-19T00:00:00.000+01:00;7.30
4284170000100;2022-11-20T00:00:00.000+01:00;3.30
4284170000100;2022-11-21T00:00:00.000+01:00;5.10
4284170000100;2022-11-22T00:00:00.000+01:00;6.20
4284170000100;2022-11-23T00:00:00.000+01:00;7.00
4284170000100;2022-11-24T00:00:00.000+01:00;7.40
4284170000100;2022-11-25T00:00:00.000+01:00;6.80
4284170000100;2022-11-26T00:00:00.000+01:00;6.70
4284170000100;2022-11-27T00:00:00.000+01:00;6.50
4284170000100;2022-11-28T00:00:00.000+01:00;6.30
4284170000100;2022-11-29T00:00:00.000+01:00;7.20
4284170000100;2022-11-30T00:00:00.000+01:00;7.30
4284170000100;2022-12-01T00:00:00.000+01:00;7.10
4284170000100;2022-12-02T00:00:00.000+01:00;5.70
4284170000100;2022-12-03T00:00:00.000+01:00;4.00
4284170000100;2022-12-04T00:00:00.000+01:00;3.50
4284170000100;2022-12-05T00:00:00.000+01:00;4.00
4284170000100;2022-12-06T00:00:00.000+01:00;4.50
4284170000100;2022-12-07T00:00:00.000+01:00;4.60
4284170000100;2022-12-08T00:00:00.000+01:00;4.50
4284170000100;2022-12-09T00:00:00.000+01:00;4.10
4284170000100;2022-12-10T00:00:00.000+01:00;2.80
4284170000100;2022-12-11T00:00:00.000+01:00;2.50
4284170000100;2022-12-12T00:00:00.000+01:00;2.40
4284170000100;2022-12-13T00:00:00.000+01:00;3.80
4284170000100;2022-12-14T00:00:00.000+01:00;2.10
4284170000100;2022-12-15T00:00:00.000+01:00;2.30
4284170000100;2022-12-16T00:00:00.000+01:00;2.70
4284170000100;2022-12-17T00:00:00.000+01:00;2.70
4284170000100;2022-12-18T00:00:00.000+01:00;3.00
4284170000100;2022-12-19T00:00:00.000+01:00;3.00
4284170000100;2022-12-20T00:00:00.000+01:00;0.50
4284170000100;2022-12-21T00:00:00.000+01:00;0.50
4284170000100;2022-12-22T00:00:00.000+01:00;3.80
4284170000100;2022-12-23T00:00:00.000+01:00;5.40
4284170000100;2022-12-24T00:00:00.000+01:00;5.80
4284170000100;2022-12-25T00:00:00.000+01:00;6.20
4284170000100;2022-12-26T00:00:00.000+01:00;6.60
4284170000100;2022-12-27T00:00:00.000+01:00;5.40
4284170000100;2022-12-28T00:00:00.000+01:00;6.00
4284170000100;2022-12-29T00:00:00.000+01:00;6.60
4284170000100;2022-12-30T00:00:00.000+01:00;6.20
4284170000100;2022-12-31T00:00:00.000+01:00;8.30
4284170000100;2023-01-01T00:00:00.000+01:00;7.60
4284170000100;2023-01-02T00:00:00.000+01:00;7.40
4284170000100;2023-01-03T00:00:00.000+01:00;6.70
4284170000100;2023-01-04T00:00:00.000+01:00;7.20
4284170000100;2023-01-05T00:00:00.000+01:00;7.10
4284170000100;2023-01-06T00:00:00.000+01:00;7.20
4284170000100;2023-01-07T00:00:00.000+01:00;7.10
4284170000100;2023-01-08T00:00:00.000+01:00;7.00
4284170000100;2023-01-09T00:00:00.000+01:00;6.50
4284170000100;2023-01-10T00:00:00.000+01:00;6.10
4284170000100;2023-01-11T00:00:00.000+01:00;6.70
4284170000100;2023-01-12T00:00:00.000+01:00;6.90
4284170000100;2023-01-13T00:00:00.000+01:00;6.90
4284170000100;2023-01-14T00:00:00.000+01:00;6.90
4284170000100;2023-01-15T00:00:00.000+01:00;6.90
4284170000100;2023-01-16T00:00:00.000+01:00;5.70
4284170000100;2023-01-17T00:00:00.000+01:00;5.10
4284170000100;2023-01-18T00:00:00.000+01:00;4.20
4284170000100;2023-01-19T00:00:00.000+01:00;4.10
4284170000100;2023-01-20T00:00:00.000+01:00;3.90
4284170000100;2023-01-21T00:00:00.000+01:00;3.30
4284170000100;2023-01-22T00:00:00.000+01:00;3.60
