station_no;time;mean(cm)
2783721000100;2022-09-15T00:00:00.000+01:00;12.79
2783721000100;2022-09-16T00:00:00.000+01:00;12.74
2783721000100;2022-09-17T00:00:00.000+01:00;12.68
2783721000100;2022-09-18T00:00:00.000+01:00;12.56
2783721000100;2022-09-19T00:00:00.000+01:00;12.34
2783721000100;2022-09-20T00:00:00.000+01:00;12.03
2783721000100;2022-09-21T00:00:00.000+01:00;11.86
2783721000100;2022-09-22T00:00:00.000+01:00;11.80
2783721000100;2022-09-23T00:00:00.000+01:00;11.72
2783721000100;2022-09-24T00:00:00.000+01:00;11.64
2783721000100;2022-09-25T00:00:00.000+01:00;11.54
2783721000100;2022-09-26T00:00:00.000+01:00;11.46
2783721000100;2022-09-27T00:00:00.000+01:00;11.44
2783721000100;2022-09-28T00:00:00.000+01:00;11.28
2783721000100;2022-09-29T00:00:00.000+01:00;11.19
2783721000100;2022-09-30T00:00:00.000+01:00;11.10
2783721000100;2022-10-01T00:00:00.000+01:00;11.02
2783721000100;2022-10-02T00:00:00.000+01:00;10.87
2783721000100;2022-10-03T00:00:00.000+01:00;10.81
2783721000100;2022-10-04T00:00:00.000+01:00;10.88
2783721000100;2022-10-05T00:00:00.000+01:00;10.95
2783721000100;2022-10-06T00:00:00.000+01:00;10.94
2783721000100;2022-10-07T00:00:00.000+01:00;10.93
2783721000100;2022-10-08T00:00:00.000+01:00;10.98
2783721000100;2022-10-09T00:00:00.000+01:00;10.94
2783721000100;2022-10-10T00:00:00.000+01:00;10.90
2783721000100;2022-10-11T00:00:00.000+01:00;10.79
2783721000100;2022-10-12T00:00:00.000+01:00;10.71
2783721000100;2022-10-13T00:00:00.000+01:00;10.72
2783721000100;2022-10-14T00:00:00.000+01:00;10.66
2783721000100;2022-10-15T00:00:00.000+01:00;10.61
2783721000100;2022-10-16T00:00:00.000+01:00;10.58
2783721000100;2022-10-17T00:00:00.000+01:00;10.69
2783721000100;2022-10-18T00:00:00.000+01:00;10.83
2783721000100;2022-10-19T00:00:00.000+01:00;10.93
2783721000100;2022-10-20T00:00:00.000+01:00;11.11
2783721000100;2022-10-21T00:00:00.000+01:00;11.08
2783721000100;2022-10-22T00:00:00.000+01:00;10.97
2783721000100;2022-10-23T00:00:00.000+01:00;10.94
2783721000100;2022-10-24T00:00:00.000+01:00;10.92
2783721000100;2022-10-25T00:00:00.000+01:00;10.90
2783721000100;2022-10-26T00:00:00.000+01:00;10.97
2783721000100;2022-10-27T00:00:00.000+01:00;11.01
2783721000100;2022-10-28T00:00:00.000+01:00;10.97
2783721000100;2022-10-29T00:00:00.000+01:00;10.95
2783721000100;2022-10-30T00:00:00.000+01:00;11.00
2783721000100;2022-10-31T00:00:00.000+01:00;11.07
2783721000100;2022-11-01T00:00:00.000+01:00;11.11
2783721000100;2022-11-02T00:00:00.000+01:00;11.06
2783721000100;2022-11-03T00:00:00.000+01:00;11.05
2783721000100;2022-11-04T00:00:00.000+01:00;10.98
2783721000100;2022-11-05T00:00:00.000+01:00;10.83
2783721000100;2022-11-06T00:00:00.000+01:00;10.72
2783721000100;2022-11-07T00:00:00.000+01:00;10.64
2783721000100;2022-11-08T00:00:00.000+01:00;10.53
2783721000100;2022-11-09T00:00:00.000+01:00;10.46
2783721000100;2022-11-10T00:00:00.000+01:00;10.40
2783721000100;2022-11-11T00:00:00.000+01:00;10.35
2783721000100;2022-11-12T00:00:00.000+01:00;10.35
2783721000100;2022-11-13T00:00:00.000+01:00;10.30
2783721000100;2022-11-14T00:00:00.000+01:00;10.14
2783721000100;2022-11-15T00:00:00.000+01:00;10.07
2783721000100;2022-11-16T00:00:00.000+01:00;9.88
2783721000100;2022-11-17T00:00:00.000+01:00;9.72
2783721000100;2022-11-18T00:00:00.000+01:00;9.70
2783721000100;2022-11-19T00:00:00.000+01:00;9.59
2783721000100;2022-11-20T00:00:00.000+01:00;9.55
2783721000100;2022-11-21T00:00:00.000+01:00;9.35
2783721000100;2022-11-22T00:00:00.000+01:00;8.98
2783721000100;2022-11-23T00:00:00.000+01:00;8.68
2783721000100;2022-11-24T00:00:00.000+01:00;8.56
2783721000100;2022-11-25T00:00:00.000+01:00;8.51
2783721000100;2022-11-26T00:00:00.000+01:00;8.51
2783721000100;2022-11-27T00:00:00.000+01:00;8.47
2783721000100;2022-11-28T00:00:00.000+01:00;8.50
2783721000100;2022-11-29T00:00:00.000+01:00;8.50
2783721000100;2022-11-30T00:00:00.000+01:00;8.50
2783721000100;2022-12-01T00:00:00.000+01:00;8.50
2783721000100;2022-12-02T00:00:00.000+01:00;8.50
2783721000100;2022-12-03T00:00:00.000+01:00;8.50
2783721000100;2022-12-04T00:00:00.000+01:00;8.42
2783721000100;2022-12-05T00:00:00.000+01:00;8.23
2783721000100;2022-12-06T00:00:00.000+01:00;8.05
2783721000100;2022-12-07T00:00:00.000+01:00;7.83
2783721000100;2022-12-08T00:00:00.000+01:00;7.73
2783721000100;2022-12-09T00:00:00.000+01:00;7.82
2783721000100;2022-12-10T00:00:00.000+01:00;7.73
2783721000100;2022-12-11T00:00:00.000+01:00;7.56
2783721000100;2022-12-12T00:00:00.000+01:00;7.42
2783721000100;2022-12-13T00:00:00.000+01:00;7.30
2783721000100;2022-12-14T00:00:00.000+01:00;7.23
2783721000100;2022-12-15T00:00:00.000+01:00;7.00
2783721000100;2022-12-16T00:00:00.000+01:00;6.84
2783721000100;2022-12-17T00:00:00.000+01:00;6.75
2783721000100;2022-12-18T00:00:00.000+01:00;6.80
2783721000100;2022-12-19T00:00:00.000+01:00;6.94
2783721000100;2022-12-20T00:00:00.000+01:00;6.92
2783721000100;2022-12-21T00:00:00.000+01:00;6.80
2783721000100;2022-12-22T00:00:00.000+01:00;6.71
2783721000100;2022-12-23T00:00:00.000+01:00;7.05
2783721000100;2022-12-24T00:00:00.000+01:00;7.36
2783721000100;2022-12-25T00:00:00.000+01:00;7.73
2783721000100;2022-12-26T00:00:00.000+01:00;7.80
2783721000100;2022-12-27T00:00:00.000+01:00;7.99
2783721000100;2022-12-28T00:00:00.000+01:00;8.09
2783721000100;2022-12-29T00:00:00.000+01:00;8.10
2783721000100;2022-12-30T00:00:00.000+01:00;8.14
2783721000100;2022-12-31T00:00:00.000+01:00;8.20
2783721000100;2023-01-01T00:00:00.000+01:00;8.30
2783721000100;2023-01-02T00:00:00.000+01:00;8.54
2783721000100;2023-01-03T00:00:00.000+01:00;8.66
2783721000100;2023-01-04T00:00:00.000+01:00;8.68
2783721000100;2023-01-05T00:00:00.000+01:00;8.56
2783721000100;2023-01-06T00:00:00.000+01:00;8.59
2783721000100;2023-01-07T00:00:00.000+01:00;8.60
2783721000100;2023-01-08T00:00:00.000+01:00;8.60
2783721000100;2023-01-09T00:00:00.000+01:00;8.60
2783721000100;2023-01-10T00:00:00.000+01:00;8.52
2783721000100;2023-01-11T00:00:00.000+01:00;8.43
2783721000100;2023-01-12T00:00:00.000+01:00;8.37
2783721000100;2023-01-13T00:00:00.000+01:00;8.38
2783721000100;2023-01-14T00:00:00.000+01:00;8.43
2783721000100;2023-01-15T00:00:00.000+01:00;8.41
2783721000100;2023-01-16T00:00:00.000+01:00;8.40
2783721000100;2023-01-17T00:00:00.000+01:00;8.32
2783721000100;2023-01-18T00:00:00.000+01:00;8.19
2783721000100;2023-01-19T00:00:00.000+01:00;8.00
2783721000100;2023-01-20T00:00:00.000+01:00;7.82
2783721000100;2023-01-21T00:00:00.000+01:00;7.70
2783721000100;2023-01-22T00:00:00.000+01:00;7.57
2783721000100;2023-01-23T00:00:00.000+01:00;7.47
2783721000100;2023-01-24T00:00:00.000+01:00;7.43
2783721000100;2023-01-25T00:00:00.000+01:00;7.41
2783721000100;2023-01-26T00:00:00.000+01:00;7.40
2783721000100;2023-01-27T00:00:00.000+01:00;7.32
2783721000100;2023-01-28T00:00:00.000+01:00;7.28
2783721000100;2023-01-29T00:00:00.000+01:00;7.26
2783721000100;2023-01-30T00:00:00.000+01:00;7.16
2783721000100;2023-01-31T00:00:00.000+01:00;7.15
2783721000100;2023-02-01T00:00:00.000+01:00;7.28
2783721000100;2023-02-02T00:00:00.000+01:00;7.38
2783721000100;2023-02-03T00:00:00.000+01:00;7.53
2783721000100;2023-02-04T00:00:00.000+01:00;7.83
2783721000100;2023-02-05T00:00:00.000+01:00;7.98
2783721000100;2023-02-06T00:00:00.000+01:00;8.02
2783721000100;2023-02-07T00:00:00.000+01:00;8.06
2783721000100;2023-02-08T00:00:00.000+01:00;8.04
2783721000100;2023-02-09T00:00:00.000+01:00;8.00
2783721000100;2023-02-10T00:00:00.000+01:00;7.94
2783721000100;2023-02-11T00:00:00.000+01:00;7.90
2783721000100;2023-02-12T00:00:00.000+01:00;7.96
2783721000100;2023-02-13T00:00:00.000+01:00;8.02
2783721000100;2023-02-14T00:00:00.000+01:00;8.09
2783721000100;2023-02-15T00:00:00.000+01:00;8.12
2783721000100;2023-02-16T00:00:00.000+01:00;8.09
2783721000100;2023-02-17T00:00:00.000+01:00;8.06
2783721000100;2023-02-18T00:00:00.000+01:00;8.12
2783721000100;2023-02-19T00:00:00.000+01:00;8.25
2783721000100;2023-02-20T00:00:00.000+01:00;8.38
2783721000100;2023-02-21T00:00:00.000+01:00;8.40
2783721000100;2023-02-22T00:00:00.000+01:00;8.42
2783721000100;2023-02-23T00:00:00.000+01:00;8.42
2783721000100;2023-02-24T00:00:00.000+01:00;8.40
2783721000100;2023-02-25T00:00:00.000+01:00;8.40
2783721000100;2023-02-26T00:00:00.000+01:00;8.34
2783721000100;2023-02-27T00:00:00.000+01:00;8.24
2783721000100;2023-02-28T00:00:00.000+01:00;8.14
2783721000100;2023-03-01T00:00:00.000+01:00;8.06
2783721000100;2023-03-02T00:00:00.000+01:00;7.98
2783721000100;2023-03-03T00:00:00.000+01:00;7.90
2783721000100;2023-03-04T00:00:00.000+01:00;7.90
2783721000100;2023-03-05T00:00:00.000+01:00;7.90
2783721000100;2023-03-06T00:00:00.000+01:00;7.90
2783721000100;2023-03-07T00:00:00.000+01:00;7.83
2783721000100;2023-03-08T00:00:00.000+01:00;7.79
2783721000100;2023-03-09T00:00:00.000+01:00;7.66
2783721000100;2023-03-10T00:00:00.000+01:00;7.64
2783721000100;2023-03-11T00:00:00.000+01:00;7.86
2783721000100;2023-03-12T00:00:00.000+01:00;8.05
2783721000100;2023-03-13T00:00:00.000+01:00;8.12
2783721000100;2023-03-14T00:00:00.000+01:00;8.14
2783721000100;2023-03-15T00:00:00.000+01:00;8.23
2783721000100;2023-03-16T00:00:00.000+01:00;8.25
2783721000100;2023-03-17T00:00:00.000+01:00;8.25
2783721000100;2023-03-18T00:00:00.000+01:00;8.28
2783721000100;2023-03-19T00:00:00.000+01:00;8.37
2783721000100;2023-03-20T00:00:00.000+01:00;8.49
2783721000100;2023-03-21T00:00:00.000+01:00;8.58
2783721000100;2023-03-22T00:00:00.000+01:00;8.61
2783721000100;2023-03-23T00:00:00.000+01:00;8.65
2783721000100;2023-03-24T00:00:00.000+01:00;8.72
2783721000100;2023-03-25T00:00:00.000+01:00;8.77
2783721000100;2023-03-26T00:00:00.000+01:00;8.80
2783721000100;2023-03-27T00:00:00.000+01:00;8.78
2783721000100;2023-03-28T00:00:00.000+01:00;8.72
2783721000100;2023-03-29T00:00:00.000+01:00;8.60
2783721000100;2023-03-30T00:00:00.000+01:00;8.62
2783721000100;2023-03-31T00:00:00.000+01:00;8.68
2783721000100;2023-04-01T00:00:00.000+01:00;8.77
2783721000100;2023-04-02T00:00:00.000+01:00;8.81
2783721000100;2023-04-03T00:00:00.000+01:00;8.79
2783721000100;2023-04-04T00:00:00.000+01:00;8.72
2783721000100;2023-04-05T00:00:00.000+01:00;8.65
2783721000100;2023-04-06T00:00:00.000+01:00;8.63
2783721000100;2023-04-07T00:00:00.000+01:00;8.61
2783721000100;2023-04-08T00:00:00.000+01:00;8.65
2783721000100;2023-04-09T00:00:00.000+01:00;8.64
2783721000100;2023-04-10T00:00:00.000+01:00;8.65
2783721000100;2023-04-11T00:00:00.000+01:00;8.66
2783721000100;2023-04-12T00:00:00.000+01:00;8.76
2783721000100;2023-04-13T00:00:00.000+01:00;8.80
2783721000100;2023-04-14T00:00:00.000+01:00;8.81
2783721000100;2023-04-15T00:00:00.000+01:00;8.79
2783721000100;2023-04-16T00:00:00.000+01:00;8.79
2783721000100;2023-04-17T00:00:00.000+01:00;8.75
2783721000100;2023-04-18T00:00:00.000+01:00;8.79
2783721000100;2023-04-19T00:00:00.000+01:00;8.88
2783721000100;2023-04-20T00:00:00.000+01:00;8.94
2783721000100;2023-04-21T00:00:00.000+01:00;9.03
2783721000100;2023-04-22T00:00:00.000+01:00;9.08
2783721000100;2023-04-23T00:00:00.000+01:00;9.23
2783721000100;2023-04-24T00:00:00.000+01:00;9.44
2783721000100;2023-04-25T00:00:00.000+01:00;9.51
